atletas.posicao_id;atletas.status_id;pontos.rodada.ant;atletas.preco_num;atletas.clube.id.full.name;FC;FD;FF;FS;G;I;RB;CA;PE;A;SG;DD;FT;GS;CV;GC;PP;DP;jogou.partida.ant;vitoria.ou.derrota.ant;confronto.ant;confronto.atual;pontuacao_rodada_anterior_ADV;sede.rodada.atual;classificacao
1;1;2;1;0;0;0;0;0;0;0;0;0;1;0;0;4;0;2;0;0;0;0;2;2;6;4;0;0;bom
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;7;8;2;1;ruim
1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;3;0;3;0;0;0;0;2;1;9;14;2;1;bom
1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;2;1;15;12;0;0;ruim
1;1;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;2;3;13;15;0;1;excelente
1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;1;16;13;1;0;excelente
1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;2;2;14;3;2;1;ruim
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;1;4;10;2;0;excelente
1;1;1;1;0;0;0;0;0;0;0;0;0;3;0;1;2;0;0;0;0;0;0;2;2;11;16;2;1;excelente
1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;0;0;0;0;2;3;17;9;0;0;ruim
