atletas.posicao_id;atletas.status_id;pontos.rodada.ant;atletas.preco_num;atletas.clube.id.full.name;FC;FD;FF;FS;G;I;RB;CA;PE;A;SG;DD;FT;GS;CV;GC;PP;DP;jogou.partida.ant;vitoria.ou.derrota.ant;confronto.ant;confronto.atual;pontuacao_rodada_anterior_ADV;sede.rodada.atual;classificacao
5;1;0;1;4;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;18;18;2;0;ruim
3;1;2;2;4;1;1;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;18;18;2;0;excelente
4;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;18;18;2;0;ruim
3;1;0;1;4;2;1;0;2;0;0;3;1;3;0;0;0;0;0;0;0;0;0;2;2;18;18;2;0;ruim
3;1;0;1;5;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;3;7;8;2;1;ruim
5;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;7;8;2;1;ruim
0;1;2;1;5;2;2;0;5;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;3;7;8;2;1;ruim
1;1;0;2;5;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;2;3;7;8;2;1;ruim
4;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;7;8;2;1;ruim
2;1;1;1;5;1;0;1;3;0;0;3;0;2;2;0;0;0;0;0;0;0;0;2;3;7;8;2;1;ruim
5;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;7;8;2;1;ruim
3;1;0;1;5;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;3;7;8;2;1;ruim
3;1;2;1;5;2;0;1;1;0;0;4;0;3;0;0;0;0;0;0;0;0;0;2;3;7;8;2;1;ruim
0;1;2;1;5;2;0;1;4;1;0;1;1;1;0;0;0;0;0;0;0;0;0;2;3;7;8;2;1;ruim
0;1;1;1;5;3;2;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;2;3;7;8;2;1;ruim
2;1;2;1;5;1;0;0;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;3;7;8;2;1;ruim
4;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;6;1;0;0;bom
3;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;1;0;0;ruim
3;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;1;0;0;ruim
5;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;1;0;0;bom
0;1;0;1;6;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;6;1;0;0;ruim
0;1;0;1;6;1;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;6;1;0;0;ruim
5;1;0;1;6;1;0;0;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;2;1;6;1;0;0;ruim
1;1;0;1;6;0;0;0;0;0;0;0;0;4;0;0;0;0;3;0;0;0;0;2;1;6;1;0;0;excelente
3;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;1;0;0;bom
2;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;1;0;0;ruim
3;1;0;1;6;4;0;0;0;0;1;2;0;3;0;0;0;0;0;0;0;0;0;2;1;6;1;0;0;ruim
3;1;1;1;6;2;0;0;3;1;0;2;0;4;0;0;0;0;0;0;0;0;0;2;1;6;1;0;0;bom
3;1;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;9;0;0;ruim
0;1;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;9;0;0;ruim
1;1;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;9;0;0;ruim
0;1;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;9;0;0;ruim
5;1;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;9;0;0;ruim
5;1;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;9;0;0;ruim
4;1;2;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;9;0;0;ruim
3;1;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;9;0;0;bom
2;1;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;9;0;0;ruim
3;1;0;1;7;1;0;4;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;2;1;9;0;0;ruim
2;1;1;1;7;0;0;0;1;0;1;5;0;0;0;1;0;0;0;0;0;0;0;2;2;1;9;0;0;ruim
3;1;0;1;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;1;9;0;0;ruim
4;1;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;14;5;0;0;ruim
3;1;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;14;5;0;0;ruim
3;1;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;14;5;0;0;ruim
5;1;0;1;8;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;14;5;0;0;ruim
1;1;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;1;14;5;0;0;ruim
5;1;0;1;8;2;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;2;1;14;5;0;0;ruim
3;1;2;1;8;1;0;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;2;1;14;5;0;0;ruim
2;1;0;1;8;1;0;0;1;0;0;2;1;3;0;0;0;0;0;0;0;0;0;2;1;14;5;0;0;ruim
3;1;2;1;8;2;0;0;2;0;0;5;0;2;0;0;0;0;0;0;0;0;0;2;1;14;5;0;0;ruim
2;1;0;1;8;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;1;14;5;0;0;ruim
0;1;0;1;8;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;14;5;0;0;ruim
0;1;0;1;8;1;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;1;14;5;0;0;ruim
4;1;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;7;0;1;bom
3;1;0;1;9;1;0;0;1;0;1;1;1;4;0;0;0;0;0;0;0;0;0;2;2;4;7;0;1;bom
5;1;2;2;9;0;0;0;2;0;0;1;0;3;0;1;0;0;0;0;0;0;0;2;2;4;7;0;1;bom
2;1;0;1;9;2;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;2;2;4;7;0;1;ruim
3;1;2;2;9;2;0;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0;0;2;2;4;7;0;1;ruim
1;1;0;1;9;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;2;2;4;7;0;1;excelente
0;1;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;7;0;1;ruim
0;1;0;2;9;2;3;0;1;0;0;1;0;7;0;0;0;0;0;0;0;0;0;2;2;4;7;0;1;bom
2;1;2;2;9;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;2;4;7;0;1;excelente
3;1;0;1;9;2;0;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;2;4;7;0;1;ruim
5;1;0;2;9;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;2;4;7;0;1;bom
3;1;0;0;9;1;1;0;5;0;0;1;0;5;0;0;0;0;0;0;0;0;0;2;2;4;7;0;1;excelente
1;1;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;12;14;2;0;bom
4;1;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;12;14;2;0;bom
5;1;0;1;10;3;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;1;12;14;2;0;excelente
5;1;0;1;10;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;12;14;2;0;bom
3;1;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;12;14;2;0;excelente
0;1;0;1;10;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;12;14;2;0;bom
0;1;0;1;10;1;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;12;14;2;0;bom
3;1;2;2;10;1;1;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;2;1;12;14;2;0;bom
2;1;0;2;10;0;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;1;12;14;2;0;bom
3;0;0;1;10;2;0;1;1;0;0;2;1;1;0;0;0;0;0;0;0;0;0;2;1;12;14;2;0;ruim
0;1;0;1;10;1;0;1;3;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;1;12;14;2;0;excelente
3;0;0;1;10;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;1;12;14;2;0;ruim
5;1;2;1;10;0;0;0;3;0;0;4;0;4;0;0;0;0;0;0;0;0;0;2;1;12;14;2;0;bom
3;1;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;11;3;0;0;ruim
2;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;11;3;0;0;ruim
3;1;2;1;11;0;1;0;1;0;0;3;0;3;0;0;0;0;0;0;0;0;0;2;3;11;3;0;0;ruim
4;1;2;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;11;3;0;0;ruim
0;1;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;11;3;0;0;bom
1;1;1;1;11;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;3;11;3;0;0;ruim
0;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;11;3;0;0;ruim
2;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;11;3;0;0;ruim
5;1;2;2;11;0;0;0;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;2;3;11;3;0;0;ruim
3;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;11;3;0;0;ruim
5;1;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;11;3;0;0;ruim
3;1;0;1;11;2;0;1;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;2;3;11;3;0;0;bom
0;1;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;11;3;0;0;bom
2;0;2;1;11;1;0;0;0;0;0;3;1;0;0;1;0;0;0;0;0;0;0;2;3;11;3;0;0;ruim
0;0;0;1;11;2;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;3;11;3;0;0;ruim
2;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;11;3;0;0;bom
3;1;0;2;12;1;0;0;1;0;0;2;1;6;1;0;0;0;0;0;0;0;0;2;3;20;16;2;1;ruim
1;1;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;3;20;16;2;1;ruim
0;1;2;1;12;1;0;0;0;1;1;0;0;3;0;0;0;0;0;0;0;0;0;2;3;20;16;2;1;ruim
0;1;0;1;12;4;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;3;20;16;2;1;ruim
3;1;0;2;12;3;0;0;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;3;20;16;2;1;ruim
5;1;0;2;12;1;0;1;1;0;0;3;1;1;0;0;0;0;0;0;0;0;0;2;3;20;16;2;1;ruim
2;1;0;1;12;1;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;2;3;20;16;2;1;ruim
3;1;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;20;16;2;1;bom
0;1;2;2;12;1;1;3;5;0;1;2;0;3;0;0;0;0;0;0;0;0;0;2;3;20;16;2;1;excelente
5;1;0;1;12;2;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;2;3;20;16;2;1;ruim
4;1;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;20;16;2;1;ruim
2;1;2;2;12;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;2;3;20;16;2;1;ruim
5;1;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;9;17;2;1;ruim
0;1;0;2;13;2;0;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;3;9;17;2;1;ruim
4;1;0;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;9;17;2;1;bom
2;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;9;17;2;1;ruim
3;1;0;1;13;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;3;9;17;2;1;ruim
0;1;2;2;13;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;2;3;9;17;2;1;bom
2;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;9;17;2;1;ruim
3;1;0;2;13;1;0;2;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;3;9;17;2;1;ruim
1;1;0;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;9;17;2;1;excelente
3;1;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;9;17;2;1;ruim
5;1;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;9;17;2;1;ruim
2;1;0;1;13;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;3;9;17;2;1;bom
0;1;0;1;13;3;0;1;5;0;2;1;1;1;0;0;0;0;0;0;0;0;0;1;3;9;17;2;1;bom
0;1;0;1;14;2;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;19;10;0;1;ruim
0;1;0;1;14;1;1;3;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;19;10;0;1;ruim
5;1;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;19;10;0;1;ruim
1;1;0;1;14;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;2;2;19;10;0;1;ruim
3;0;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;19;10;0;1;ruim
4;1;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;19;10;0;1;ruim
3;1;1;1;14;1;1;5;2;1;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;19;10;0;1;ruim
3;0;0;1;14;1;0;2;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;2;19;10;0;1;ruim
5;1;0;1;14;2;0;0;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;19;10;0;1;ruim
2;1;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;19;10;0;1;ruim
2;1;0;1;14;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;19;10;0;1;ruim
2;1;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;19;10;0;1;ruim
3;0;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;19;10;0;1;ruim
0;0;0;1;14;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;19;10;0;1;ruim
3;0;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;19;2;1;ruim
4;1;2;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;19;2;1;bom
1;1;1;2;15;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;3;3;19;2;1;bom
2;1;2;2;15;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;3;3;19;2;1;excelente
2;1;2;2;15;0;0;0;2;0;0;2;0;3;0;1;0;0;0;0;0;0;0;2;3;3;19;2;1;bom
0;1;0;1;15;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;3;3;19;2;1;ruim
5;1;2;1;15;1;0;0;1;0;0;2;1;1;0;1;0;0;0;0;0;0;0;2;3;3;19;2;1;bom
5;0;2;1;15;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;3;3;19;2;1;bom
3;1;2;2;15;1;2;0;1;1;0;0;1;6;0;0;0;0;0;0;0;0;0;2;3;3;19;2;1;bom
0;1;0;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;19;2;1;bom
0;1;0;1;15;1;0;0;3;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;3;3;19;2;1;ruim
3;0;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;19;2;1;ruim
5;0;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;19;2;1;ruim
3;1;0;1;15;1;0;1;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;3;3;19;2;1;ruim
3;1;2;1;16;2;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;2;1;2;12;2;0;bom
